keep,university,openalex_id,doi,title,authors,affiliations,publication_year,cited_by_count,is_open_access,pdf_url,source,language,abstract,collected_on
no,USPN,W4386957833,https://doi.org/10.3389/fonc.2023.1250678,Upright patient positioning for gantry-free breast radiotherapy: feasibility tests using a robotic chair and specialised bras,S. Boisbouvier; Tracy Underwood; Joanna McNamara; Heidi Probst,Université Sorbonne Paris Nord; Sorbonne Université; University College London; Sheffield Hallam University; Centre Léon Bérard,2023,14,True,https://www.frontiersin.org/articles/10.3389/fonc.2023.1250678/pdf?isPublishedV2=False,Frontiers in Oncology,en,"For external beam radiotherapy using photons or particles, upright patient positioning on a rotating, robotic chair (a gantry-less system) could offer substantial cost savings. In this study, we considered the feasibility of upright breast radiotherapy using a robotic radiotherapy chair, for (i) a cohort of 9 patients who received conventional supine radiotherapy using photons for a diagnosis of primary breast cancer, plus (ii) 7 healthy volunteers, selected to have relatively large bra cup sizes. We studied: overall body positioning, arm positioning, beam access, breast reproducibility, and comfort. Amongst the healthy volunteer cohort, the impact of specialised radiotherapy bras upon inframammary skinfolds (ISF) was also determined, for upright treatment positions. In conclusion, upright body positioning for breast radiotherapy appears to be comfortable and feasible. Of the 9 patients who received conventional, supine radiotherapy (mean age 63.5 years, maximum age 90 years), 7 reported that they preferred upright positioning. Radiotherapy bras were effective in reducing/eliminating ISF for upright body positions, including for very large breasted volunteers. For upright proton radiotherapy to the breast, beam access should be straightforward, even for arms-down treatments, as <i>en-face</i> field directions are typically used. For photon radiotherapy, additional research is now required to investigate beam paths and whether, for certain patients, additional immobilisation will be required to keep the contralateral breast free from exposure. Future research should also investigate arm supports custom-designed for upright radiotherapy.",2026-03-29
yes,USPN,W4315928608,https://doi.org/10.1007/s00264-023-05690-4,Artificial intelligence and robots like us (surgeons) for people like you (patients): toward a new human–robot-surgery shared experience. What is the moral and legal status of robots and surgeons in the operating room?,Philippe Hernigou; Sébastien Lustıg; Jacques Caton,Université Sorbonne Paris Nord; Université Claude Bernard Lyon 1; Centre Orthopédique Santy,2023,13,True,https://link.springer.com/content/pdf/10.1007/s00264-023-05690-4.pdf,International Orthopaedics,en,,2026-03-29
no,USPN,W4315703142,https://doi.org/10.1007/s11042-024-20292-x,Objective quality assessment of medical images and videos: review and challenges,Rafael Rodrigues; Lucie Lévêque; Jesús Gutiérrez; Houda Jebbari; Meriem Outtas; Lu Zhang; Aladine Chetouani; Shaymaa Al-Juboori; Maria G. Martini; António Pinheiro,"Université Sorbonne Paris Nord; Institut National des Sciences Appliquées de Rennes; Laboratoire Pluridisciplinaire de Recherche en Ingénierie des Systèmes, Mécanique et Energétique; Nantes Université; Laboratoire Traitement du Signal et de l'Image; Institut d'Électronique et des Technologies du numéRique; Institut National des Sciences Appliquées Rouen Normandie; Kingston University; Inserm; University of Beira Interior; Instituto de Telecomunicações; Université de Rennes; Université d'Orléans; Universidad Politécnica de Madrid; Laboratoire des Sciences du Numérique de Nantes",2024,12,True,https://link.springer.com/content/pdf/10.1007/s11042-024-20292-x.pdf,Multimedia Tools and Applications,en,"Abstract Quality assessment is a key element for the evaluation of hardware and software involved in image and video acquisition, processing, and visualization. In the medical field, user-based quality assessment is still considered more reliable than objective methods, which allow the implementation of automated and more efficient solutions. Regardless of increasing research on this topic in the last decade, defining quality standards for medical content remains a non-trivial task, as the focus should be on the diagnostic value assessed by expert viewers rather than the perceived quality from naïve viewers, and objective quality metrics should aim at estimating the first rather than the latter. In this paper, we present a survey of methodologies used for the objective quality assessment of medical images and videos, dividing them into visual quality-based and task-based approaches. Visual quality-based methods compute a quality index directly from visual attributes, while task-based methods, being increasingly explored, measure the impact of quality impairments on the performance of a specific task. A discussion on the limitations of state-of-the-art research on this topic is also provided, along with future challenges to be addressed.",2026-03-29
yes,USPN,W2751048955,https://doi.org/10.4108/eai.31-8-2017.153048,Drone Package Delivery: A Heuristic approach for UAVs path planning and tracking,Mustapha Bekhti; Nadjib Achir; Khaled Boussetta; Marwen Abdennebi,Université Sorbonne Paris Nord; Institut National des Sciences Appliquées de Lyon; Sorbonne Paris Cité,2017,10,True,http://eudl.eu/pdf/10.4108/eai.31-8-2017.153048,EAI Endorsed Transactions on Internet of Things,en,"In this paper we propose a new approach based on a heuristic search for UAVs path planning with terrestrial wireless network tracking. In a previous work we proposed and exact solution based on an integer linear formulation of the problem. Unfortunately, the exact resolution is limited by the computation complexity. In this case, we propose in this paper a new approach based on a heuristic search. More precisely, a heuristic adaptive scheme based on Dijkstra algorithm is proposed to yield a simple but effective and fast solution. In addition, the proposed solution can cover a large area and generate a set of optimum and near optimum pa ths according to the drone battery capacities. Finally, the simulation results show that the drone tracking is sustainable even in noisy wireless network environment.",2026-03-29
no,USPN,W2819134329,https://doi.org/10.1051/shsconf/20184608002,"Détection automatique, description linguistique et suivi des néologismes en corpus : point d'étape sur les tendances du français contemporain",Émmanuel Cartier; Jean-François Sablayrolles; Najet Boutmgharine; John Humbley; Massimo Bertocci; Christine Jacquet-Pfau; Natalie Kübler; Giovanni Luca Tallarico,"Université Sorbonne Paris Nord; Laboratoire Univers et Théories; University of Verona; Collège de France; Université Paris Cité; Histoire des Théories Linguistiques; Laboratoire d'Informatique de Paris-Nord; Centre National de la Recherche Scientifique; Approches Linguistiques Théoriques, Appliquées et Expérimentales : langues et cultures connectées",2018,9,True,https://www.shs-conferences.org/articles/shsconf/pdf/2018/07/shsconf_cmlf2018_08002.pdf,SHS Web of Conferences,fr,"L'objet du présent article est de faire un point d'étape sur unprojet de recherche, Néoveille, commencé en 2015 et visantà confectionner une plateforme pour détecter automatiquement, décrire linguistiquement et suivre le cycle de vie des néologismes en corpus dynamique contemporain, en sept langues. Nous nous concentrons ici sur les résultats obtenus sur le français. Nous introduisons tout d'abord quelques jalons théoriques permettant de situer le phénomène néologique. Ensuite, nous présentons la plateforme web qui a été construiteet qui offre aux linguistes un outil pour la détection automatique, l'analyse linguistique et de le suivi des néologismes sur corpus dynamique. Enfn, une dernière partie fait un point sur les tendances néologiques du français contemporain, suite à la collecte automatique, à la validation manuelle et à la description linguistique des innovations lexicales détectées depuis 2015 dans près de 250 sources de presse.",2026-03-29
yes,USPN,W4220695744,https://doi.org/10.1109/iraset52964.2022.9737976,Which French speech recognition system for assistant robots?,Wiam Fadel; Imane Araf; Toumi Bouchentouf; Pierre-André Buvet; François Bourzeix; Omar Bourja,"Université Sorbonne Paris Nord; Moroccan Foundation for Advanced Science, Innovation and Research",2022,6,False,,"2022 2nd International Conference on Innovative Research in Applied Science, Engineering and Technology (IRASET)",en,"Artificial intelligence-based speech recognition systems are already available and capable of recognizing the French language. Still, it is quite time-consuming to compare which one will be effective for an assistant robot. The study aims to select the best French-language speech recognition system with the least error in a real environment. In this paper, we present related works on how an Automatic Speech Recognition (ASR) system works, the models used by each of its components, several open-source French datasets, and the frequently used evaluation techniques. Next, we compare deep learning-based speech recognition APIs and pre-trained models for French on two different datasets using the Word Error Rate (WER) metric. The experimental results reveal that Google's Speech-to-Text API outperforms the other systems, namely VOSK API, Wav2vec 2.0, QuartzNet, and Speech Brain's Convolutional, Recurrent, and Fully-connected Networks (CRDNN) model.",2026-03-29
yes,USPN,W4281555099,https://doi.org/10.1101/2022.05.23.493047,Video-based automated analysis of MDS-UPDRS III parameters in Parkinson disease,Gaëtan Vignoud; Clément Desjardins; Quentin Salardaine; M Mongin; Béatrice Garcin; Laurent Venance; Bertrand Degos,Université Sorbonne Paris Nord; Assistance Publique – Hôpitaux de Paris; Université Paris Sciences et Lettres; Institut national de recherche en sciences et technologies du numérique; Collège de France; Hôpital Avicenne; Inserm; Centre National de la Recherche Scientifique; Centre Interdisciplinaire de Recherche en Biologie,2022,6,True,https://www.biorxiv.org/content/biorxiv/early/2022/05/24/2022.05.23.493047.full.pdf,bioRxiv (Cold Spring Harbor Laboratory),en,"ABSTRACT Background Among motor symptoms of Parkinson’s disease (PD), including rigidity and resting tremor, bradykinesia is a mandatory feature to define the parkinsonian syndrome. MDS-UPDRS III is the worldwide reference scale to evaluate the parkinsonian motor impairment, especially bradykinesia. However, MDS-UPDRS III constitutes an agent-based score making reproducible measurements and follow-up challenging. Objectives Using a deep learning approach, we developed a tool to compute an objective score of bradykinesia based on the gold-standard MDS-UPDRS III. Methods In the Movement Disorder unit of Avicenne University Hospital, we acquired a large database of videos of parkinsonian patients performing MDS-UPDRS III protocols. We applied two deep learning algorithms to detect a two-dimensional (2D) skeleton of the hand composed of 21 predefined points, and transposed it into a three-dimensional (3D) skeleton. Results We developed a 2D and 3D automated analysis tool to study the evolution of several key parameters during the protocol repetitions of the MDS-UPDRS III. Scores from 2D automated analysis showed a significant correlation with gold-standard ratings of MDS-UPDRS III, measured with coefficients of determination for the tapping (0.609) and hand movements (0.701) protocols using decision tree algorithms. The individual correlations of the different parameters measured with MDS-UPDRS III scores carry meaningful information and are consistent with MDS-UPDRS III guidelines. Conclusion We developed a deep learning-based tool to reliably score and analyze bradykinesia for parkinsonian patients.",2026-03-29
no,USPN,W4210619689,https://doi.org/10.4230/lipics.sand.2022.6,Building Squares with Optimal State Complexity in Restricted Active Self-Assembly,"Pchelina, Daria; Schabanel, Nicolas; Seki, Shinnosuke; Theyssier, Guillaume",Université Sorbonne Paris Nord; École Normale Supérieure de Lyon; Aix-Marseille Université; Institut Galien Paris-Saclay; Laboratoire d’Informatique Fondamentale de Marseille; Laboratoire d'Informatique de Paris-Nord; Institut Polytechnique de Bordeaux; Institut de Mathématiques de Marseille; Centre National de la Recherche Scientifique; Laboratoire d'Informatique Fondamentale d'Orléans; University of Electro-Communications,2022,5,True,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.SAND.2022.6,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),en,"Different models have been proposed to understand natural phenomena at the molecular scale from a computational point of view. Oritatami systems are a model of molecular co-transcriptional folding: the transcript (the ""molecule"") folds as it is synthesized according to a local energy optimisation process, in a similar way to how actual biomolecules such as RNA fold into complex shapes and functions. We introduce a new model, called turedo, which is a self-avoiding Turing machine on the plane that evolves by marking visited positions and that can only move to unmarked positions. Any oritatami can be seen as a particular turedo. We show that any turedo with lookup radius 1 can conversely be simulated by an oritatami, using a universal bead type set. Our notion of simulation is strong enough to preserve the geometrical and dynamical features of these models up to a constant spatio-temporal rescaling (as in intrinsic simulation). As a consequence, turedo can be used as a readable oritatami ""higher-level"" programming language to build readily oritatami ""smart robots"", using our explicit simulation result as a compiler. As an application of our simulation result, we prove two new complexity results on the (infinite) limit configurations of oritatami systems (and radius-1 turedos), assembled from a finite seed configuration. First, we show that such limit configurations can embed any recursively enumerable set, and are thus exactly as complex as aTAM limit configurations. Second, we characterize the possible densities of occupied positions in such limit configurations: they are exactly the Π₂-computable numbers between 0 and 1. We also show that all such limit densities can be produced by one single oritatami system, just by changing the finite seed configuration. None of these results is implied by previous constructions of oritatami embedding tag systems or 1D cellular automata, which produce only computable limit configurations with constrained density.",2026-03-29
yes,USPN,W4324056534,https://doi.org/10.3390/info14030179,Adapting Off-the-Shelf Speech Recognition Systems for Novel Words,Wiam Fadel; Toumi Bouchentouf; Pierre-André Buvet; Omar Bourja,"Université Sorbonne Paris Nord; Moroccan Foundation for Advanced Science, Innovation and Research; Mohamed I University",2023,5,True,https://www.mdpi.com/2078-2489/14/3/179/pdf?version=1678701380,Information,en,"Current speech recognition systems with fixed vocabularies have difficulties recognizing Out-of-Vocabulary words (OOVs) such as proper nouns and new words. This leads to misunderstandings or even failures in dialog systems. Ensuring effective speech recognition is crucial for the proper functioning of robot assistants. Non-native accents, new vocabulary, and aging voices can cause malfunctions in a speech recognition system. If this task is not executed correctly, the assistant robot will inevitably produce false or random responses. In this paper, we used a statistical approach based on distance algorithms to improve OOV correction. We developed a post-processing algorithm to be combined with a speech recognition model. In this sense, we compared two distance algorithms: Damerau–Levenshtein and Levenshtein distance. We validated the performance of the two distance algorithms in conjunction with five off-the-shelf speech recognition models. Damerau–Levenshtein, as compared to the Levenshtein distance algorithm, succeeded in minimizing the Word Error Rate (WER) when using the MoroccanFrench test set with five speech recognition systems, namely VOSK API, Google API, Wav2vec2.0, SpeechBrain, and Quartznet pre-trained models. Our post-processing method works regardless of the architecture of the speech recognizer, and its results on our MoroccanFrench test set outperformed the five chosen off-the-shelf speech recognizer systems.",2026-03-29
yes,USPN,W4401072225,https://doi.org/10.1145/3659994.3660310,Reactive Autoscaling of Kubernetes Nodes,Tarek Menouer; Christophe Cérin; Patrice Darmon,Université Sorbonne Paris Nord,2024,5,True,https://dl.acm.org/doi/pdf/10.1145/3659994.3660310?download=true,,en,"Kubernetes is undoubtedly the most effective container orchestration system that automates container management with high scalability. It allows running containerized applications on a Kubernetes cluster composed of a set of computing nodes. According to the native Kubernetes operating mode, all nodes in the cluster are used. This massive use of computing resources can lead to resource waste. To address this limitation, we present in this paper a new reactive Kubernetes autoscaler mechanism that allows the number of active computing nodes in a Kubernetes cluster to be controlled dynamically based on several factors. The goal is to reduce resource waste, energy consumption, and the cost of renting a Kubernetes cluster. The idea is to have a pilot that dynamically checks the state of the Kubernetes cluster and scales up or down computing nodes. To select the most pertinent node to add or remove from the Kubernetes cluster, a multi-criteria decision-making (MCDM) algorithm is used. The proposed autoscaler mechanism is offered on top of the Kubernetes framework with minimal changes to make it easy to use with future versions of Kubernetes. Experiments have demonstrated the effectiveness of our solution under different scenarios. The package we provided for the experiments is generic and ready for current Kubernetes flavors.",2026-03-29
no,USPN,W3205300795,https://doi.org/10.1080/0951192x.2021.1972463,Switching models and control of Petri Nets with shared resources under marking constraints,Nesrine Ben Afia; Saïd Amari; Hassani Messaoud,University of Monastir; Université Sorbonne Paris Nord; Université Paris-Saclay; Nord University,2021,4,False,,International Journal of Computer Integrated Manufacturing,en,"Nowadays multi-option phenomena can generate potential problems related to industrial manufacturing systems. For instance, time and money loss are both expensive costs that should be paid when failing to make the right control choice decision, especially given the existence of various constraints. Therefore, the shared resource allocation between several processes can be transformed into a switching control problem that can be modeled using (Min, +) algebra. Due to the finite number of states and ergo of the application of this type of system, they are defined under the class of Discrete Event Systems. Accordingly, while taking into consideration modes of representation, this paper seeks to discuss a new modelling approach for competitive Timed Events Graphs under capacity constraints. The deduced switching models are then examined to solve the control problem issue of an industrial manufacturing process composed of cells of pick and place robots. To deduce the adequate control laws, an original solution based on the use of linear equations described by (Min, +) linear algebra is provided.",2026-03-29
yes,USPN,W4205387507,https://doi.org/10.1109/lcomm.2021.3138761,A Successive Epidemic Prevention Infrastructure Using Mobile Robots and Smart Devices in Intelligent Public Area,Hyunbum Kim; Jalel Ben‐Othman,Université Sorbonne Paris Nord; Sorbonne Université; Laboratoire des signaux et systèmes; CentraleSupélec; Université Paris-Saclay; Incheon National University; Centre National de la Recherche Scientifique,2021,4,False,,IEEE Communications Letters,en,"Advanced intelligent paradigm allows critical systems to be expanded into various systems and applicable areas consisting of heterogeneous devices including smart devices and mobile robots. As one of those areas, intelligent public area can be considered, which provides intelligent services and solutions in public area where all citizens are accessible. Also, due to recent pandemic disease such as covid-19, the infrastructure for epidemic prevention is highly necessary. In this letter, we design a successive epidemic prevention framework using mobile robots and smart devices which are located at intelligent public area. Also, we formally define a problem whose goal is to maximize a series of detection accuracy with moving range for epidemic prevention such that multiple number of epidemic prevention barriers are built. To solve the problem, a novel method using weigh activation is proposed. Then, the proposed approach is implemented by expanded experiments using various settings and the obtained result is discussed.",2026-03-29
no,USPN,W4391113119,https://doi.org/10.1016/j.vehcom.2024.100728,Reconfigurable UAV-aided 3D sustainable surveillance in classified air-spaces,Minsoo Kim; Jalel Ben‐Othman; Hyunbum Kim,Université Sorbonne Paris Nord; Sorbonne Université; CentraleSupélec; Incheon National University; Zayed University; Centre National de la Recherche Scientifique,2024,4,False,,Vehicular Communications,en,,2026-03-29
