Timestamp,1. Grupo de edad,2. Seleccione su institución de origen,3. ¿En qué área trabaja principalmente dentro de su organización?,4. ¿En qué campo de educación o investigación trabaja?,5. ¿Cuál es su nivel de estudios más alto completado?,6. ¿Cuánto tiempo lleva trabajando en el sector educativo?,7. ¿Cuál de las siguientes opciones describe mejor su competencia en alfabetización en datos y gestión de datos?,8. Reconozco mis necesidades de información y encuentro recursos básicos.,"8. Puedo ilustrar las necesidades de información y navegar entre datos, información y contenidos digitales.",8. Puedo navegar eficazmente por fuentes digitales y ayudar a otros a aplicar estrategias de búsqueda adecuadas.,8. Puedo variar las estrategias de búsqueda para encontrar los datos más apropiados.,8. Evalúo las necesidades de información y adapto las estrategias de búsqueda para contenidos complejos.,8. Innovo nuevos enfoques para resolver desafíos complejos de recuperación de información.,9. Puedo reconocer indicadores básicos de fuentes fiables.,9. Puedo interpretar y comparar indicadores de fiabilidad y sesgo en contextos definidos.,9. Puedo aplicar técnicas de evaluación y guiar a otros en su uso.,"9. Puedo distinguir entre información basada en hechos y opiniones, e identificar limitaciones.",9. Puedo evaluar críticamente la fiabilidad de la información en situaciones complejas.,9. Puedo desarrollar enfoques especializados para problemas complejos de evaluación.,10. Puedo organizar datos e información para un acceso fácil en situaciones no rutinarias.,"10. Puedo estructurar y gestionar datos para su almacenamiento y recuperación, y guiar a otros.",10. Puedo analizar y mejorar la gestión de datos en mi trabajo.,10. Puedo adaptar la gestión de datos para un almacenamiento eficaz en situaciones complejas.,"10. Puedo crear soluciones innovadoras para organizar, almacenar y recuperar datos.",11. Ejemplos de competencias avanzadas en alfabetización o gestión de datos,"12. Búsqueda y filtrado de datos, información y contenido digital [Necesidad de formación]","12. Evaluación de datos, información y contenido digital [Necesidad de formación]","12. Gestión de datos, información y contenido digital [Necesidad de formación]",13. Áreas adicionales de formación en alfabetización en datos,14. ¿Cuál de las siguientes opciones describe mejor su competencia en IA?,15. Puedo detectar cuándo las herramientas de IA pueden afectar a la fiabilidad de los datos.,15. Puedo analizar e interpretar el sesgo y las limitaciones en los datos procesados por IA.,15. Puedo evaluar los resultados generados por IA y guiar a otros.,"15. Puedo analizar y explicar patrones, inconsistencias y limitaciones en los resultados de IA.",15. Puedo evaluar críticamente la credibilidad de los resultados de IA en contextos complejos.,15. Puedo crear soluciones para problemas complejos de evaluación de IA.,16. Puedo reconocer desafíos organizativos habituales y tecnologías básicas de IA.,16. Puedo adaptar soluciones de IA a necesidades y flujos de trabajo específicos.,16. Puedo aplicar diferentes herramientas de IA y guiar a otros en su uso.,16. Puedo analizar la idoneidad de las tecnologías de IA para problemas complejos.,16. Puedo evaluar necesidades y seleccionar herramientas de IA considerando riesgos éticos.,16. Puedo diseñar soluciones de IA a medida para mejorar procesos de trabajo.,17. Estoy familiarizado/a con herramientas básicas de IA para mejorar prácticas laborales.,17. Entiendo cómo usar la IA de forma creativa para resolver problemas.,17. Puedo aplicar herramientas de IA para crear nuevas soluciones y guiar a otros.,17. Puedo analizar oportunidades para usar la IA para crear conocimiento.,17. Puedo evaluar críticamente y adaptar herramientas de IA para necesidades complejas.,17. Puedo diseñar soluciones innovadoras basadas en IA para problemas complejos.,18. Ejemplos de competencias avanzadas en IA,"19. Evaluación de datos, información y contenido digital [Necesidad de formación IA]",19. Identificación de necesidades y respuestas tecnológicas [Necesidad de formación IA],19. Utilización creativa de las tecnologías digitales [Necesidad de formación IA],20. Áreas adicionales de formación en IA,21. Microcredenciales completadas
2026-06-02T12:19:51Z,45-64,University of Malaga,Administración,Servicios,,5–10 años,Comprensión básica,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,En desacuerdo,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,,No,No estoy seguro/a,No,,Solo reconocimiento,,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,i dont use ai,No,No,No estoy seguro/a,,
2026-06-02T16:33:29Z,15-24,University of Malaga,Administración,Programas y titulaciones genéricas,Grado universitario o nivel equivalente (CINE 6),Menos de 3 años,Solo reconocimiento,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,En desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,I'm still learning how to organize files properly. I mainly use Google Drive and sometimes get confused with shared folders.,Sí,Sí,Sí,I would like basic training on how to organize and manage data for my daily work.,Solo reconocimiento,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,I've used ChatGPT a few times to help with writing emails but nothing advanced.,Sí,Sí,Sí,A basic introduction to AI tools for daily administrative work would be very helpful.,
2026-06-02T09:26:39Z,25-44,University of Malaga,Investigación,Tecnologías de la información y la comunicación,Máster o nivel equivalente (CINE 7),3–5 años,Evaluación crítica,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Built interactive dashboards in Power BI for tracking research output metrics across the department. Automated data refresh from OpenAlex API.,No estoy seguro/a,No,No,,Innovación / Experiencia avanzada,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Designed a multi-agent system for monitoring environmental sensor data using LangChain. Each agent handles a different data stream and they coordinate through a shared state. Published a paper on the architecture.,No,No,No,,"AWS Machine Learning Specialty, HuggingFace NLP Course"
2026-06-02T14:45:07Z,45-64,University of Malaga,Docencia,Salud y bienestar,Doctorado o nivel equivalente (CINE 8),Más de 10 años,Evaluación crítica,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,I manage student clinical placement data using structured spreadsheets with validation rules and pivot tables. This helps me identify patterns in learning outcomes across different hospital sites.,No estoy seguro/a,Sí,No estoy seguro/a,"Training on data management for clinical education data, especially regarding patient data anonymization.",Aplicación independiente,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Used Midjourney to create anatomical diagrams for my courses and ChatGPT to draft simulation scenarios and exam questions. The visual materials are much more engaging than stock images.,Sí,Sí,No estoy seguro/a,Interested in how AI can support clinical reasoning training and simulation-based education.,
2026-06-02T10:43:53Z,45-64,University of Malaga,Administración,Programas y titulaciones genéricas,Nivel inferior (por debajo del CINE 6),Más de 10 años,Solo reconocimiento,,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,,No,No,No,,Sin competencia,Muy en desacuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,,Muy en desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,,En desacuerdo,En desacuerdo,En desacuerdo,,En desacuerdo,En desacuerdo,,Muy en desacuerdo,,No,No,No,,
2026-06-02T10:58:39Z,25-44,University of Malaga,Docencia,Educación,,3–5 años,Comprensión básica,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,,nothing special,No estoy seguro/a,No estoy seguro/a,No,,Solo reconocimiento,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,,Ni de acuerdo ni en desacuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,En desacuerdo,,,,En desacuerdo,En desacuerdo,En desacuerdo,,No estoy seguro/a,No,No,dont know,
2026-06-02T15:43:19Z,45-64,University of Malaga,Docencia,Educación,Doctorado o nivel equivalente (CINE 8),Más de 10 años,Aplicación independiente,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,I organize all my course materials in a structured cloud system with consistent naming conventions and tagging. Students find everything easily and other colleagues have adopted my system.,Sí,Sí,No estoy seguro/a,Would like training on data visualization tools for presenting teaching outcomes.,Aplicación independiente,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,"I use ChatGPT to generate quiz questions, discussion prompts and personalized feedback for my courses. It saves me several hours each week. Students appreciate the varied question styles.",Sí,Sí,No estoy seguro/a,I want to learn how to teach my students to use AI responsibly and critically. Also interested in AI for adaptive learning.,MOOC on AI in Education (University of Helsinki)
2026-06-03T08:58:21Z,25-44,University of Malaga,Docencia,"Ciencias sociales, periodismo e información",Máster o nivel equivalente (CINE 7),5–10 años,Aplicación guiada,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,I created a shared database of teaching resources for our department using SharePoint. About 15 colleagues use it regularly for finding and sharing materials.,Sí,Sí,Sí,I would like to learn more about managing student assessment data efficiently and in compliance with GDPR.,Aplicación guiada,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,"I've been using AI tools (Copilot, ChatGPT) for 2 years to prepare lecture materials, translate content between Spanish and English, and create interactive case studies. My students love them.",Sí,Sí,Sí,I would like to learn how to create personalized and adaptive educational content using AI.,
2026-06-03T12:30:41Z,25-44,University of Malaga,Administración,Programas y titulaciones genéricas,Nivel inferior (por debajo del CINE 6),3–5 años,Solo reconocimiento,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,,No estoy seguro/a,No,No,not really,Sin competencia,En desacuerdo,Muy en desacuerdo,,Muy en desacuerdo,En desacuerdo,,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,,En desacuerdo,,No,No,No,,
2026-06-03T19:24:06Z,25-44,University of Malaga,Administración,"Negocios, administración y derecho",Grado universitario o nivel equivalente (CINE 6),5–10 años,Aplicación guiada,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,,Ni de acuerdo ni en desacuerdo,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,En desacuerdo,,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,No,No estoy seguro/a,No,,Comprensión básica,Ni de acuerdo ni en desacuerdo,,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,used chatgpt once or twice,No estoy seguro/a,No estoy seguro/a,No,maybe later,
2026-06-03T10:58:49Z,45-64,University of Malaga,Docencia e investigación en proporciones aproximadamente iguales,"Ingeniería, industria y construcción",Doctorado o nivel equivalente (CINE 8),Más de 10 años,Evaluación crítica,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Designed an automated ETL process for student performance data that processes information from 3 different systems using SQL and Python. Used by the faculty for annual reporting.,No,No estoy seguro/a,No,Advanced data governance frameworks for multi-institutional projects would be useful.,Innovación / Experiencia avanzada,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Built an automated grading assistant using GPT-4 API that provides rubric-based feedback on student lab reports. Reduced grading time by approximately 40%. Includes plagiarism pattern detection.,No,No,No,Advanced prompt engineering and fine-tuning techniques for domain-specific models.,"IBM AI Engineering Professional Certificate, Microsoft Azure AI Fundamentals"
2026-06-03T12:31:49Z,25-44,University of Malaga,Administración,Servicios,Grado universitario o nivel equivalente (CINE 6),Menos de 3 años,Comprensión básica,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,I try to keep my files organized but our department doesn't have clear guidelines.,Sí,No estoy seguro/a,Sí,Training on how to structure shared drives and follow institutional data policies.,Comprensión básica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,I've started using Copilot in Word for drafting documents. It's helpful but I'm still learning.,Sí,Sí,No estoy seguro/a,Practical training on AI tools integrated in Microsoft 365 would be most useful.,
2026-06-03T21:24:32Z,45-64,University of Malaga,Investigación,"Ciencias naturales, matemáticas y estadística",Doctorado o nivel equivalente (CINE 8),Más de 10 años,Innovación / Experiencia avanzada,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,"Developed a data governance framework for our faculty including metadata standards, access control policies and data retention schedules. Now adopted by 3 other departments.",No,No,No,,Evaluación crítica,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,I fine-tuned a BERT model for classifying research abstracts by topic within our domain. Achieved 89% accuracy on our test set using HuggingFace transformers with a labeled dataset of 3000 abstracts.,No estoy seguro/a,No,No,Training on LLM evaluation and benchmarking methodologies.,Coursera Deep Learning Specialization
2026-06-03T08:03:01Z,25-44,University of Malaga,Investigación,Salud y bienestar,Doctorado o nivel equivalente (CINE 8),5–10 años,Evaluación crítica,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,I manage large clinical datasets (2000+ patient records) following FAIR principles. I use R for statistical analysis and have implemented data anonymization procedures for our research group.,No estoy seguro/a,No,No,Advanced training in synthetic data generation for healthcare research.,Aplicación independiente,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,I used GPT-4 to help with systematic literature review screening. It classified 2000 abstracts into relevant/not relevant categories. Manual verification showed 92% agreement with expert reviewers.,Sí,No estoy seguro/a,No,Advanced training on NLP techniques for processing clinical texts and research articles.,"FAIR Data Management certificate, DataCamp Data Science with Python track"
2026-06-03T15:21:41Z,45-64,University of Malaga,Docencia,Artes y humanidades,Máster o nivel equivalente (CINE 7),Más de 10 años,Comprensión básica,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,,,No,No,No estoy seguro/a,no thanks,Solo reconocimiento,En desacuerdo,Muy en desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,,,En desacuerdo,,No,No,No,,
2026-06-04T11:41:25Z,45-64,University of Malaga,Administración,"Negocios, administración y derecho",Grado universitario o nivel equivalente (CINE 6),Más de 10 años,Comprensión básica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,Ni de acuerdo ni en desacuerdo,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,,No,No,No estoy seguro/a,,Solo reconocimiento,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,,Muy en desacuerdo,En desacuerdo,,En desacuerdo,,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,,,En desacuerdo,Muy en desacuerdo,,En desacuerdo,,No estoy seguro/a,No,No,,
2026-06-04T18:30:08Z,25-44,University of Malaga,Administración,Programas y titulaciones genéricas,Grado universitario o nivel equivalente (CINE 6),5–10 años,Aplicación guiada,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,I organize mobility data in Excel with pivot tables and shared folders. Nothing very advanced but the system works well for our team.,Sí,Sí,No estoy seguro/a,,Comprensión básica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,"I've tried ChatGPT for translating documents and summarizing long reports. The translations are good, the summaries sometimes miss important details.",Sí,No estoy seguro/a,Sí,"Practical AI training focused on administrative tasks, not too technical.",
2026-06-04T19:14:57Z,45-64,University of Malaga,Investigación,Artes y humanidades,Doctorado o nivel equivalente (CINE 8),Más de 10 años,Aplicación guiada,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,I prefer traditional library research methods. Digital tools can be unreliable and create a false sense of completeness.,No,No estoy seguro/a,No,Not interested in additional training.,Solo reconocimiento,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,I have tried ChatGPT and found the results superficial and unreliable for serious academic work. It cannot replace domain expertise.,No,No,No,"We need training on the dangers of AI in education, not just on how to use it.",
2026-06-04T12:20:11Z,45-64,University of Malaga,Administración,Servicios,Máster o nivel equivalente (CINE 7),5–10 años,Aplicación guiada,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,,No estoy seguro/a,Sí,Sí,Data protection and GDPR compliance training would be very useful for my daily work.,Aplicación guiada,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,I use Microsoft Copilot and occasionally ChatGPT for various administrative tasks. It helps with routine writing but I wouldn't use it for sensitive decisions.,Sí,Sí,Sí,Training on AI governance and data ethics in an institutional context.,
2026-06-04T21:50:52Z,25-44,University of Malaga,Docencia,Educación,Máster o nivel equivalente (CINE 7),Menos de 3 años,Comprensión básica,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,not really sure what counts as advanced data management,Sí,Sí,Sí,An introductory course on Excel and databases for teaching would help me a lot.,Comprensión básica,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,I use ChatGPT sometimes to get ideas for lesson plans but I'm not sure how reliable it is.,Sí,Sí,Sí,A basic course on AI for beginners would be ideal for me. I want to understand what it can and cannot do.,
